subject_id,split_no,hostname,start_time,end_time,runtime_seconds
12672270699804,0,g3043,2026-01-22T22:09:09.593344,2026-01-22T22:11:35.846309,146.25
25242073263098,14,g3060,2026-01-22T04:59:03.671161,2026-01-22T05:19:40.758757,1237.09
36201305796834,6,g3044,2026-01-22T04:54:36.419201,2026-01-22T05:20:11.159652,1534.74
22478736382873,15,g3064,2026-01-22T04:54:17.469037,2026-01-22T05:20:26.275217,1568.81
62146545467058,9,g3057,2026-01-22T04:56:58.724372,2026-01-22T05:20:57.489003,1438.76
47982566359889,1,g3066,2026-01-22T04:57:54.508147,2026-01-22T05:21:17.834623,1403.33
12685165126954,17,g3046,2026-01-22T05:53:59.579457,2026-01-22T05:55:40.748801,101.17
86479430180778,2,g3067,2026-01-22T05:19:10.830987,2026-01-22T05:39:19.045209,1208.21
59243724971828,6,g3044,2026-01-22T05:20:11.290054,2026-01-22T05:39:31.684753,1160.39
25310981994593,15,g3064,2026-01-22T05:20:26.311457,2026-01-22T05:40:25.885061,1199.57
28181545952203,14,g3060,2026-01-22T05:19:40.775047,2026-01-22T05:40:30.052923,1249.28
84898953059284,1,g3066,2026-01-22T05:21:17.874509,2026-01-22T05:40:46.533562,1168.66
16841296268084,16,g3040,2026-01-22T05:19:39.396350,2026-01-22T05:40:47.526161,1268.13
86494014107780,3,g3074,2026-01-22T05:19:36.602815,2026-01-22T05:41:20.121698,1303.52
13022952193695,18,g3046,2026-01-22T05:53:59.579484,2026-01-22T05:55:40.777928,101.20
13215970035309,19,g3050,2026-01-22T05:40:40.738002,2026-01-22T05:42:53.437486,132.70
22739958691056,2,g3063,2026-01-23T06:51:26.025525,2026-01-23T06:53:52.689958,146.66
16339919319697,10,g3074,2026-01-22T05:45:24.705358,2026-01-22T05:46:06.450811,41.75
27091259602746,5,g3064,2026-01-22T11:34:30.170095,2026-01-22T11:36:18.294436,108.12
27006137583344,4,g3064,2026-01-22T11:34:32.254139,2026-01-22T11:36:32.360650,120.11
24081053373989,8,g3074,2026-01-22T11:34:13.705122,2026-01-22T11:36:10.329577,116.62
90024861092544,7,g3067,2026-01-22T05:47:00.089439,2026-01-22T05:47:27.814374,27.72
99542841613815,9,g3062,2026-01-22T11:34:55.714675,2026-01-22T11:36:46.098997,110.38
12266467217442,11,g3061,2026-01-22T05:48:28.906833,2026-01-22T05:51:07.799486,158.89
16886552183776,17,g3046,2026-01-22T05:55:40.759755,2026-01-22T05:56:12.733674,31.97
17101939938068,19,g3050,2026-01-22T05:42:53.468015,2026-01-22T05:59:12.588648,979.12
28597611781685,15,g3064,2026-01-22T05:40:26.005050,2026-01-22T05:59:16.643061,1130.64
89573218664301,6,g3044,2026-01-22T05:39:31.755117,2026-01-22T05:59:25.097808,1193.34
31641093204866,14,g3060,2026-01-22T05:40:30.064672,2026-01-22T05:59:43.159712,1153.10
18188206483800,10,g3074,2026-01-22T05:46:06.462370,2026-01-22T05:59:58.544166,832.08
27573818526654,8,g3045,2026-01-22T05:47:18.061038,2026-01-22T06:00:30.387239,792.33
21909463934838,10,g3074,2026-01-22T05:59:58.595995,2026-01-22T06:16:37.019746,998.42
16375427841703,11,g3061,2026-01-22T05:51:07.813915,2026-01-22T06:16:38.557866,1530.74
19247185345726,19,g3050,2026-01-22T05:59:12.639078,2026-01-22T06:16:54.465559,1061.83
30773833734707,8,g3045,2026-01-22T06:00:30.443799,2026-01-22T06:17:05.499417,995.06
32001092620149,15,g3064,2026-01-22T05:59:16.655006,2026-01-22T06:17:38.161861,1101.51
43717166913394,14,g3060,2026-01-22T05:59:43.302840,2026-01-22T06:19:35.320759,1192.02
36377400251983,8,g3045,2026-01-22T06:17:05.508010,2026-01-22T06:33:34.542955,989.03
22734740452340,19,g3050,2026-01-22T06:16:54.588147,2026-01-22T06:34:55.281888,1080.69
45203724572086,15,g3064,2026-01-22T06:17:38.201605,2026-01-22T06:38:01.260309,1223.06
18197100217970,11,g3061,2026-01-22T06:16:38.569026,2026-01-22T06:38:06.459257,1287.89
76084158638666,14,g3060,2026-01-22T06:19:35.380063,2026-01-22T06:38:53.982630,1158.60
24429041449362,10,g3074,2026-01-22T06:16:37.090995,2026-01-22T06:39:43.067950,1385.98
25639609314537,19,g3050,2026-01-22T06:34:55.372463,2026-01-22T06:47:08.403647,733.03
59945412009507,8,g3045,2026-01-22T06:33:34.575252,2026-01-22T06:47:46.266301,851.69
21912957831748,11,g3061,2026-01-22T06:38:06.506243,2026-01-22T06:53:02.021419,895.52
27756622012770,10,g3074,2026-01-22T06:39:43.192467,2026-01-22T06:56:53.998156,1030.81
76811337679033,15,g3064,2026-01-22T06:38:01.314802,2026-01-22T06:57:21.257794,1159.94
29626022997414,19,g3050,2026-01-22T06:47:08.428394,2026-01-22T07:01:25.660487,857.23
93491128291443,8,g3045,2026-01-22T06:47:46.287814,2026-01-22T07:02:27.216189,880.93
24551911631824,11,g3061,2026-01-22T06:53:02.096600,2026-01-22T07:08:32.894378,930.80
31106616463767,10,g3074,2026-01-22T06:56:54.029286,2026-01-22T07:16:02.700269,1148.67
32767378073475,19,g3050,2026-01-22T07:01:25.690228,2026-01-22T07:17:36.017261,970.33
27896086573534,11,g3061,2026-01-22T07:08:32.953472,2026-01-22T07:29:27.634394,1254.68
40378064041205,10,g3074,2026-01-22T07:16:02.748625,2026-01-22T07:29:58.382587,835.63
46240253759706,19,g3050,2026-01-22T07:17:36.069374,2026-01-22T07:30:27.894069,771.82
82298679836592,19,g3050,2026-01-22T07:30:27.937278,2026-01-22T07:47:12.661278,1004.72
31351035633578,11,g3061,2026-01-22T07:29:27.669715,2026-01-22T07:48:14.184124,1126.51
62692215849422,10,g3074,2026-01-22T07:29:58.474643,2026-01-22T07:48:25.436008,1106.96
40517844001162,11,g3061,2026-01-22T07:48:14.209271,2026-01-22T08:08:19.903013,1205.69
65715967822251,11,g3061,2026-01-22T08:08:19.926699,2026-01-22T08:25:51.024006,1051.10
30390669934425,4,g3040,2026-01-23T09:43:02.923066,2026-01-23T09:43:49.447026,46.52
30501682770038,5,g3064,2026-01-22T11:36:18.306073,2026-01-22T11:37:14.530496,56.22
35918397061286,5,g3064,2026-01-22T11:37:14.538072,2026-01-22T11:49:28.114177,733.58
33752435803828,4,g3064,2026-01-22T11:37:02.737674,2026-01-22T11:49:42.345945,759.61
57059342504789,5,g3064,2026-01-22T11:49:28.131015,2026-01-22T12:02:52.863674,804.73
50276292875695,4,g3064,2026-01-22T11:49:42.354636,2026-01-22T12:03:07.099908,804.75
88976336920958,5,g3064,2026-01-22T12:02:52.874403,2026-01-22T12:17:59.532231,906.66
16580717943140,0,g3051,2026-01-22T22:53:19.667516,2026-01-22T22:54:49.320779,89.65
16926185273548,2,g3063,2026-01-23T06:47:21.053870,2026-01-23T06:47:57.728004,36.67
18587545975395,0,g3051,2026-01-22T23:00:04.302109,2026-01-22T23:14:14.719812,850.42
18900019516078,0,g3050,2026-01-22T23:44:29.200541,2026-01-22T23:57:33.957867,784.76
19173649379441,0,g3050,2026-01-22T23:57:33.975744,2026-01-22T23:58:46.812213,72.84
19216744737641,0,g3050,2026-01-22T23:58:46.830992,2026-01-23T00:13:48.258011,901.43
22029752470512,0,g3050,2026-01-23T00:17:25.409060,2026-01-23T00:30:59.313979,813.90
22513869714470,0,g3050,2026-01-23T00:31:51.952627,2026-01-23T00:48:04.170888,972.22
22654131857264,0,g3052,2026-01-23T03:16:04.567856,2026-01-23T03:37:47.926062,1303.36
25325158121363,0,g3052,2026-01-23T03:39:07.348210,2026-01-23T03:56:49.039889,1061.69
29906987659391,0,g3052,2026-01-23T03:57:51.652717,2026-01-23T04:14:27.055128,995.40
31513092502755,0,g3052,2026-01-23T04:15:05.982949,2026-01-23T04:32:49.320451,1063.34
32535921321911,0,g3052,2026-01-23T04:32:49.329487,2026-01-23T04:50:10.094793,1040.77
45305246589934,0,g3052,2026-01-23T04:51:32.438049,2026-01-23T05:12:32.827140,1260.39
84541548076919,0,g3052,2026-01-23T05:13:59.121215,2026-01-23T05:34:44.490012,1245.37
25549124438619,1,g3072,2026-01-23T05:45:04.204970,2026-01-23T06:02:21.210065,1037.01
31587484358496,1,g3072,2026-01-23T06:03:54.340551,2026-01-23T06:22:15.392492,1101.05
45379130198598,1,g3072,2026-01-23T06:23:27.315639,2026-01-23T06:40:43.261083,1035.95
24626801357217,2,g3063,2026-01-23T06:54:33.925318,2026-01-23T07:17:04.554150,1350.63
25571147667431,2,g3063,2026-01-23T07:17:04.561206,2026-01-23T07:42:42.849017,1538.29
28777808709070,2,g3063,2026-01-23T07:44:52.696922,2026-01-23T08:07:01.267313,1328.57
33518721637620,2,g3063,2026-01-23T08:09:20.818164,2026-01-23T08:32:27.165750,1386.35
28993716581161,3,g3074,2026-01-23T08:11:33.182713,2026-01-23T08:32:27.860393,1254.68
41466768058195,3,g3074,2026-01-23T08:33:40.602665,2026-01-23T08:47:10.230256,809.63
40655222067688,2,g3063,2026-01-23T08:32:55.028945,2026-01-23T08:49:38.070847,1003.04
78826126469594,3,g3074,2026-01-23T08:48:23.911697,2026-01-23T09:02:53.904710,869.99
45519297964635,2,g3063,2026-01-23T08:49:38.098052,2026-01-23T09:04:06.552028,868.45
26098224140177,4,g3040,2026-01-23T09:08:42.666316,2026-01-23T09:10:17.485721,94.82
27900479268080,4,g3040,2026-01-23T09:11:01.036406,2026-01-23T09:26:32.482330,931.45
77553978098979,2,g3063,2026-01-23T09:05:44.144438,2026-01-23T09:26:58.847876,1274.70
22649012359469,5,g3074,2026-01-23T09:31:46.064559,2026-01-23T09:33:01.877905,75.81
27983637270581,5,g3074,2026-01-23T09:34:14.753855,2026-01-23T09:34:36.688709,21.93
29164716624643,4,g3040,2026-01-23T09:26:32.488125,2026-01-23T09:43:02.910602,990.42
32226512142846,5,g3074,2026-01-23T09:35:30.467135,2026-01-23T09:55:25.537149,1195.07
32187582546363,4,g3040,2026-01-23T09:44:17.633470,2026-01-23T09:57:09.517541,771.88
46975302291393,4,g3040,2026-01-23T09:58:22.871069,2026-01-23T10:13:34.587834,911.72
71849017280872,5,g3074,2026-01-23T09:57:17.387872,2026-01-23T10:13:36.131198,978.74
70763336732891,4,g3040,2026-01-23T10:14:05.739153,2026-01-23T10:29:15.501050,909.76
79138744870647,4,g3040,2026-01-23T10:29:15.536147,2026-01-23T10:49:29.452315,1213.92
88701623027519,4,g3040,2026-01-23T10:49:29.458391,2026-01-23T10:50:28.391694,58.93
